ds,y
2023-08-09,8.5
2023-08-10,8.5
2023-08-11,8.5
2023-08-14,8.5
2023-08-15,12.0
2023-08-16,12.0
2023-08-17,12.0
2023-08-18,12.0
2023-08-21,12.0
2023-08-22,12.0
2023-08-23,12.0
2023-08-24,12.0
2023-08-25,12.0
2023-08-28,12.0
2023-08-29,12.0
2023-08-30,12.0
2023-08-31,12.0
2023-09-01,12.0
2023-09-04,12.0
2023-09-05,12.0
2023-09-06,12.0
2023-09-07,12.0
2023-09-08,12.0
2023-09-11,12.0
2023-09-12,12.0
2023-09-13,12.0
2023-09-14,12.0
2023-09-15,12.0
2023-09-18,13.0
2023-09-19,13.0
2023-09-20,13.0
2023-09-21,13.0
2023-09-22,13.0
2023-09-25,13.0
2023-09-26,13.0
2023-09-27,13.0
2023-09-28,13.0
2023-09-29,13.0
2023-10-02,13.0
2023-10-03,13.0
2023-10-04,13.0
2023-10-05,13.0
2023-10-06,13.0
2023-10-09,13.0
2023-10-10,13.0
2023-10-11,13.0
2023-10-12,13.0
2023-10-13,13.0
2023-10-16,13.0
2023-10-17,13.0
2023-10-18,13.0
2023-10-19,13.0
2023-10-20,13.0
2023-10-23,13.0
2023-10-24,13.0
2023-10-25,13.0
2023-10-26,13.0
2023-10-27,13.0
2023-10-30,15.0
2023-10-31,15.0
2023-11-01,15.0
2023-11-02,15.0
2023-11-03,15.0
2023-11-06,15.0
2023-11-07,15.0
2023-11-08,15.0
2023-11-09,15.0
2023-11-10,15.0
2023-11-13,15.0
2023-11-14,15.0
2023-11-15,15.0
2023-11-16,15.0
2023-11-17,15.0
2023-11-20,15.0
2023-11-21,15.0
2023-11-22,15.0
2023-11-23,15.0
2023-11-24,15.0
2023-11-27,15.0
2023-11-28,15.0
2023-11-29,15.0
2023-11-30,15.0
2023-12-01,15.0
2023-12-04,15.0
2023-12-05,15.0
2023-12-06,15.0
2023-12-07,15.0
2023-12-08,15.0
2023-12-11,15.0
2023-12-12,15.0
2023-12-13,15.0
2023-12-14,15.0
2023-12-15,15.0
2023-12-18,16.0
2023-12-19,16.0
2023-12-20,16.0
2023-12-21,16.0
2023-12-22,16.0
2023-12-25,16.0
2023-12-26,16.0
2023-12-27,16.0
2023-12-28,16.0
2023-12-29,16.0
2024-01-03,16.0
2024-01-04,16.0
2024-01-05,16.0
2024-01-08,16.0
2024-01-09,16.0
2024-01-10,16.0
2024-01-11,16.0
2024-01-12,16.0
2024-01-15,16.0
2024-01-16,16.0
2024-01-17,16.0
2024-01-18,16.0
2024-01-19,16.0
2024-01-22,16.0
2024-01-23,16.0
2024-01-24,16.0
2024-01-25,16.0
2024-01-26,16.0
2024-01-29,16.0
2024-01-30,16.0
2024-01-31,16.0
2024-02-01,16.0
2024-02-02,16.0
2024-02-05,16.0
2024-02-06,16.0
2024-02-07,16.0
2024-02-08,16.0
2024-02-09,16.0
2024-02-12,16.0
2024-02-13,16.0
2024-02-14,16.0
2024-02-15,16.0
2024-02-16,16.0
2024-02-19,16.0
2024-02-20,16.0
2024-02-21,16.0
2024-02-22,16.0
2024-02-26,16.0
2024-02-27,16.0
2024-02-28,16.0
2024-02-29,16.0
2024-03-01,16.0
2024-03-04,16.0
2024-03-05,16.0
2024-03-06,16.0
2024-03-07,16.0
2024-03-11,16.0
2024-03-12,16.0
2024-03-13,16.0
2024-03-14,16.0
2024-03-15,16.0
2024-03-18,16.0
2024-03-19,16.0
2024-03-20,16.0
2024-03-21,16.0
2024-03-22,16.0
2024-03-25,16.0
